2021-1-31, 14:28:56, temps : 0.010950, offset : 3285430272, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.011029, offset : 3285417984, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.011108, offset : 3285397504, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.011200, offset : 3285385216, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.011277, offset : 3285368832, cur_bytes : 12288 , bytes : 12288, 
2021-1-31, 14:28:56, temps : 0.011355, offset : 3285356544, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.011431, offset : 3285319680, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.011513, offset : 3285303296, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.011593, offset : 3285291008, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.011673, offset : 3285274624, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.011752, offset : 3285250048, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.011852, offset : 3285233664, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.015999, offset : 3285225472, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.016394, offset : 3285213184, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.016475, offset : 3285200896, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.016555, offset : 3285180416, cur_bytes : 12288 , bytes : 12288, 
2021-1-31, 14:28:56, temps : 0.016635, offset : 3285168128, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.016734, offset : 3285147648, cur_bytes : 16384 , bytes : 16384, 
2021-1-31, 14:28:56, temps : 0.016847, offset : 3285118976, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.017465, offset : 3285102592, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.000704, offset : 3290484736, cur_bytes : 12288 , bytes : 196608, 
